首站抵達地,細分,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
亞洲地區,日本Japan,"797,460","731,330","1,051,954","1,180,406","1,214,058","1,280,853","1,309,847","1,113,857","1,377,957","1,136,394","1,560,300","2,346,007","2,971,846","3,797,879","4,295,240","4,615,873","4,825,948","4,911,681","697,981","14,049","354,219","4,225,804","6,006,116"
亞洲地區,韓國Korea,"120,208","179,893","298,325","368,206","396,705","457,095","363,122","388,806","406,290","423,266","532,729","518,528","626,694","500,100","808,420","888,526","1,086,516","1,209,062","163,953","8,269","78,318","954,693","1,429,398"
亞洲地區,香港Hong Kong,"2,418,872","1,869,069","2,559,705","2,807,027","2,993,317","3,030,971","2,851,170","2,261,001","2,308,633","2,156,760","2,021,212","2,038,732","2,018,129","2,008,153","1,902,647","1,773,252","1,696,265","1,676,374","158,008","12,692","52,725","743,443","1,203,821"
亞洲地區,中國大陸China,-,-,-,-,-,-,"188,744","1,516,087","2,424,242","2,846,572","3,139,055","3,072,327","3,267,238","3,403,920","3,685,477","3,928,352","4,172,704","4,043,686","414,634","128,637","165,895","1,761,134","2,770,284"
亞洲地區,澳門Macao,"1,269,840","837,936","1,038,006","1,163,822","1,232,232","1,196,110","926,593","739,263","667,910","587,633","527,050","514,701","493,188","527,144","598,850","589,147","605,468","596,721","54,537","11,468","7,556","275,979","487,441"
亞洲地區,越南Vietnam,"225,733","222,487","266,115","234,009","242,852","272,020","285,263","264,819","313,987","318,587","341,511","361,957","339,107","409,013","465,944","564,002","659,123","853,257","158,286","11,123","133,203","853,859","1,263,352"
亞洲地區,泰國Thailand,"530,945","392,414","422,189","268,231","379,275","353,439","332,997","258,449","350,074","382,635","306,746","507,616","419,133","599,523","532,787","553,804","679,145","830,166","127,693","7,976","104,892","777,326","1,121,756"
亞洲地區,馬來西亞Malaysia,"186,791","121,267","180,883","161,296","181,911","187,788","157,650","153,695","212,509","209,164","193,170","226,919","198,902","201,631","245,298","296,370","316,926","299,959","49,913","1,373","29,909","245,136","320,450"
亞洲地區,新加坡Singapore,"190,455","125,491","160,088","184,926","204,834","189,835","167,479","137,348","166,126","207,808","241,893","297,588","283,925","318,516","319,915","326,634","354,667","387,485","65,674","13,656","78,961","316,715","380,127"
亞洲地區,菲律賓Philippines,"128,158","91,418","112,552","119,125","110,041","107,824","114,155","97,372","139,762","178,876","211,385","129,361","133,583","180,091","231,801","236,597","246,691","331,792","49,093","2,099","29,027","208,399","225,716"
亞洲地區,汶萊Brunei,"5,850","3,770","5,795","296","276","670","1,233","216","714","1,628","1,100","2,411","298","285","540","801","1,093","6,317","1,594","49","36","6,821","13,651"
亞洲地區,印尼Indonesia,"259,610","251,284","283,757","185,348","186,165","201,358","186,117","173,429","179,845","212,826","198,893","166,378","170,301","176,478","175,738","177,960","170,013","156,060","30,237","2,177","20,793","125,899","148,350"
亞洲地區,柬埔寨Cambodia,-,-,-,-,-,-,"51,480","44,231","57,078","67,341","65,599","61,338","69,195","66,593","67,281","82,888","93,313","89,975","16,157","3,294","17,471","46,050","57,771"
亞洲地區,緬甸Myanmar,"19,814","17,152","18,064","15,518","14,606","13,336","10,608","11,570","14,097","16,263","18,380","23,864","22,817","19,999","25,196","26,200","25,101","25,071","5,374","297","2,681","7,919","6,492"
亞洲地區,阿拉伯聯合大公國UAE,-,-,-,-,-,-,"14","35","14","141","5","14","61,274","76,360","79,066","68,210","83,158","136,603","26,801","7,915","31,884","121,767","153,404"
亞洲地區,土耳其Turkey,-,-,-,-,-,-,"198","0","0","0","0","0","0","47,083","69,564","63,795","83,933","87,168","15,662","7,386","29,586","78,286","96,712"
亞洲地區,亞洲其他地區 Others,"15,895","9,234","31,097","52,211","92,672","151,278","26,373","19,253","23,439","16,320","8,569","121,196","20,034","20,520","35,303","61,351","52,483","116,096","2,925","276","706","3,084","1,158"
亞洲地區,亞洲合計 Total,"6,169,631","4,852,745","6,428,530","6,740,421","7,248,944","7,442,577","6,973,043","7,179,431","8,642,677","8,762,214","9,367,597","10,388,937","11,095,664","12,353,288","13,539,067","14,253,762","15,152,547","15,757,473","2,038,522","232,736","1,137,862","10,752,314","15,685,999"
非洲地區,南非S. Africa,"0","0","0","0","0","1","38","0","0","1","6","2","8","16","1,397","3,154","2,967","13","2","19","59","84","46"
非洲地區,非洲其他地區 Others,"0","0","0","0","0","0","2","2,838","1,110","237","1,820","12","5","14","3,809","13,586","13,682","14","21","46","146","256","330"
非洲地區,非洲合計 Total,"0","0","0","0","0","1","40","2,838","1,110","238","1,826","14","13","30","5,206","16,740","16,649","27","23","65","205","340","376"
美洲地區,美國USA,"532,180","479,264","536,217","578,998","593,794","587,872","515,590","415,465","436,233","404,848","469,568","381,374","425,138","477,156","527,099","574,512","569,180","550,978","143,975","103,895","216,084","465,756","532,130"
美洲地區,加拿大Canada,"132,605","95,226","112,413","104,346","93,244","87,161","65,393","61,893","63,002","67,733","66,614","65,086","70,285","71,079","93,405","114,828","133,757","125,474","31,756","10,369","34,282","77,523","80,147"
美洲地區,美洲其他地區 Others,"9","11","0","0","0","0","0","110","283","678","832","135","56","32","2,687","8,021","7,102","68","5","75","136","184","136"
美洲地區,美洲合計 Total,"664,794","574,501","648,630","683,344","687,038","675,033","580,983","477,468","499,518","473,259","537,014","446,595","495,479","548,267","623,191","697,361","710,039","676,520","175,736","114,339","250,502","543,463","612,413"
大洋洲地區,澳洲Australia,"70,141","70,679","75,957","87,912","76,424","75,408","66,543","89,793","74,787","54,889","49,986","69,824","85,745","103,806","139,501","165,938","190,163","180,048","40,124","1,629","27,162","130,276","149,161"
大洋洲地區,紐西蘭New Zealand,"35,758","24,819","21,047","20,742","21,495","17,565","10,732","1","997","15,962","1,621","6","0","3","2,804","6,846","20,901","32,457","9,668","495","6,758","28,597","31,491"
大洋洲地區,帛琉Palau,"15,812","28,388","41,909","31,012","26,685","28,238","15,918","13,264","19,951","30,079","37,512","27,164","30,471","14,421","14,203","9,884","11,524","15,511","2,628","2,621","1,535","10,555","12,468"
大洋洲地區,大洋洲其他地區 Others,"0","0","0","0","0","129","28","57","110","684","47","126","126","160","1,218","1,649","1,686","119","68","88","127","82","71"
大洋洲地區,大洋洲合計 Total,"121,711","123,886","138,913","139,666","124,604","121,340","93,221","103,115","95,845","101,614","89,166","97,120","116,342","118,390","157,726","184,317","224,274","228,135","52,488","4,833","35,582","169,510","193,191"
歐洲地區,法國France,"28,967","24,245","26,423","26,696","29,287","27,973","442","23,518","23,960","31,337","30,132","33,000","39,126","41,185","46,461","66,720","81,814","75,642","12,801","1,792","12,715","59,613","55,638"
歐洲地區,德國Germany,"18,911","20,524","25,160","33,911","33,651","37,105","38,205","32,797","31,975","35,378","36,271","41,122","44,251","53,043","66,454","95,850","90,350","69,021","12,328","2,632","18,068","78,972","84,372"
歐洲地區,義大利Italy,"16,346","16,367","24,484","25,809","20,552","17,175","14,656","9,726","7,719","9,355","12,718","70","0","14","13,054","47,346","44,940","27,717","2,505","24","3,183","49,904","60,110"
歐洲地區,荷蘭Netherlands,"129,124","105,885","128,162","121,728","93,422","85,352","98,321","84,535","43,955","85,238","83,253","22,102","22,749","30,906","32,851","66,332","63,907","63,334","11,363","996","8,220","27,185","41,404"
歐洲地區,英國U.K.,"25,764","23,432","34,071","33,831","39,255","38,310","39,114","50,621","36,142","36,376","38,002","1","0","0","16,321","47,797","69,211","37,992","9,340","949","9,759","29,363","30,601"
歐洲地區,瑞士Switzerland,"4","2","0","0","0","0","169","565","919","1,414","64","0","0","0","5,529","15,463","15,337","6","19","53","205","415","214"
歐洲地區,奧地利Austria,"24,654","21,754","22,045","39,047","42,096","38,107","34,080","34,829","26,081","35,901","39,734","23,487","26,256","32,835","41,934","59,479","91,031","81,537","10,937","300","4,345","55,560","61,404"
歐洲地區,歐洲其他地區 Total,"771","7","0","0","0","475","36","191","1,654","4,063","586","18","1,295","3,546","35,483","97,542","81,187","8,334","480","393","1,041","10,029","18,429"
歐洲地區,歐洲合計 Total,"244,541","212,216","260,345","281,022","258,263","244,497","225,023","236,782","172,405","239,062","240,760","119,800","133,677","161,529","258,087","496,529","537,777","363,583","59,773","7,139","57,536","311,041","352,172"
全區,其他 Others,"118,789","159,724","304,234","363,672","352,526","480,264","592,862","143,312","3,519","7,486","3,397","442","3,460","1,472","5,646","5,870","3,398","75,597","9,022","865","1,134","19,166","5,532"
全區,總計 Grand Total,"7,319,466","5,923,072","7,780,652","8,208,125","8,671,375","8,963,712","8,465,172","8,142,946","9,415,074","9,583,873","10,239,760","11,052,908","11,844,635","13,182,976","14,588,923","15,654,579","16,644,684","17,101,335","2,335,564","359,977","1,482,821","11,795,834","16,849,683"
